意图	语料
景点	那就太爽了，安排好住宿了，我想去北京世纪星豪酒店附近的景点玩，最好是达到5分的，可以玩1小时 - 2小时的。
景点	那满足5分要求吗？
景点	那好吧，昆明湖的周边还有别的景点吗？
景点	那我就可以一起都走走了，接下来我还想在找一个评分是4.5分以上的，票价不免费的景点，最好是游玩时长是2小时 - 3小时的。
景点	我对北京喇叭沟原始森林公园比较感兴趣，你帮我看一下他的周边有没有酒店住啊？
景点	那周边有没有景点呢？
餐馆	哦，那不是很无聊，我还是去吃饭吧，找一家评分是4.5分以上的人均消费在50-100元的餐馆就行了。
餐馆	那就去鱼豆吉(大慧寺店)吧，他家的周边有没有其他餐馆可以用餐呢？
餐馆	这个可能吃个够本呢，那你就帮我查一下上面说的这些餐馆里哪家是评分为5分的，人均消费是100-150元的餐馆，最重要的是有鸭肠可以吃。
餐馆	那他家有什么特色菜啊？
餐馆	哦，那他家的评分够5分吗？
餐馆	行，就这么地了，把他家的地址给我吧！
thank	收到，谢谢你的细心帮助！
酒店	你好，我要去名叫北京千禧大酒店的酒店住宿，可以帮我查一下这个酒店的价格吗？
酒店	价格还算可以，再帮我查一下酒店周边都有什么餐馆吧。
餐馆	那好吧，我还打算在酒店周边找一个能吃到大酱汤，评分是5分了，人均消费是50-100元的餐馆吃饭呢，你有什么好的建议吗？
餐馆	我觉得可以，就去济州岛火炉烤肉吧，知道它家的营业时间吗？
thank	好的收到，非常感谢！
酒店	你好，请给我推荐一个最低价格在300-400元的经济型酒店住宿。
酒店	这个酒店评分多少？
酒店	酒店的周边有哪些餐馆啊？
餐馆	请在锦江之星(北京奥体中心店)周边的餐馆里给我推荐一家评分4.5分以上人均消费50-100元的有水煮鱼这道菜的餐馆用餐。
餐馆	这个餐馆的周边有哪些酒店啊？
餐馆	餐馆的地址是在哪里？
餐馆	我想去一个评分4.5分以上人均消费100-150元的餐馆吃饭，给我推荐一家吧。
餐馆	这家餐馆的周边有哪些景点啊？
景点	好的，请给我推荐一个可以游玩时长1小时 - 2小时的景点吧。
景点	这个景点的周边有哪些景点啊？
景点	景点的电话是？
thank	好的，谢谢你了。
餐馆	突然想吃风味茄丁，快给我找一家人均消费是100-150元餐厅。
餐馆	眉州东坡酒楼(怀柔店)周边有酒店可以住宿吗，周边还有哪些其他的餐馆？
酒店	那帮我找一家经济型的酒店，最好评分在4.5分以上，价格在300-400元之间。
酒店	锦江之星(北京奥体中心店)周边有吃饭的地方吗？
地铁	那从锦江之星(北京奥体中心店)到眉州东坡酒楼(怀柔店)怎么坐地铁啊？
景点	想去万寿山玩一玩，评分怎么样，周边有酒店可以住宿吗？
出租	从眉州东坡酒楼(怀柔店)到万寿山不太方便，帮我打个车吧，把车型和车牌号告诉我。
thank	OK，谢谢了哈。
景点	你好，能帮我安排一个评分是4.5分以上，游玩时长是1小时 - 2小时，票价免费的景点吗？
景点	是吗，我相信你的眼光，就去这个景点了，知道它周边有哪些其他景点吗？
景点	挺好啊，这么多好玩的地方，那这个景点周边有酒店吗？
酒店	太好了，游玩结束后我需要一个提供宽带上网和无烟房的经济型酒店休息，你有值得推荐的地方吗？
酒店	可以啊，就去这儿呗，你能帮我查一下这个酒店的电话和评分吗？
地铁	好的，我打算乘地铁从韩美林艺术馆到中安之家北京东单宾馆，你知道出发地和目的地附近地铁站分别是什么吗？
thank	OK，我知道了，非常感谢哦！
景点	您好，请帮我找个游玩时长是3小时 - 6小时，然后评分在4.5分以上的景点。
景点	嗯，那麻烦您把颐和园这个景点的电话给我一下。
酒店	然后我还要找个酒店住宿，我想要的是经济型酒店，然后评分也要在4.5分以上。
酒店	好，麻烦把这家店的地址告诉我一下。
酒店	对了，酒店提供会议室吗。
酒店	那酒店周边有什么景点呀。
景点	嗯，我想在这酒店附近找个景点游玩一下，但游玩时间不能太长，1小时那种，然后评分在4.5分以上，最好不收门票。
景点	啊，这个价格我能接受，麻烦您把这个景点的电话与地址给我一下。
餐馆	最后您在帮我找个餐馆吃饭，我要吃手抓饼，餐馆有这个菜就可以。
餐馆	这个店的人均消费是多少呀。
餐馆	嗯，最后在问一下，此餐馆周边都有什么景点呢。
thank	嗯，我没问题了，谢谢。
酒店	你好，我出差想去酒店住宿。请帮我找一家评分是4.5分以上的舒适型酒店。
酒店	好的。北京天龙饭店有接待外宾和酒店各处提供wifi的服务吗？
酒店	好的，知道了。这家酒店的价格是多少钱啊？
景点	没关系的。空闲的时候想去张坊古战道游玩。这个景点的附近还有什么好玩的景点吗？
景点	哦。这个景点的电话是多少啊？
thank	好的，谢谢。
酒店	您好，我要为客户订一家酒店，希望评分是4.5分以上、提供行李寄存、提供免费市内电话，求推荐。
酒店	这家酒店价格是多少？
餐馆	好的。之后要安排他吃个便饭，帮我找一家人均消费是50-100元的餐馆。有好地方吗？
餐馆	好，故宫餐厅周边有什么景点和酒店吗？
酒店	这些酒店中有最低价格是500-600元的、提供宽带上网、提供部分房间提供wifi的吗？
酒店	这家酒店地址在哪？评分是多少？
出租	麻烦您帮我叫一辆出租车，从故宫餐厅到瑞尔威连锁饭店(北京西客站店)，然后告诉我车型、车牌。
景点	记下了。周末还要带孩子玩玩，想找一个游玩的时长是2小时 - 3小时的景点，求推荐，再看看周边有什么餐馆？
thank	谢谢！没有问题了，再见！
景点	你好，能帮我找一个评分4.5分以上，游玩时间3小时 - 4小时，票价在150-200元的景点吗？
景点	玉渡山景区周边有酒店吗？
酒店	那在周边的酒店里帮我找一个舒适型的，价格在900-1000元，公共区域和部分房间提供wifi的酒店。
酒店	北京云天酒店周边有可以吃饭的地方吗？
酒店	北京云天酒店的电话给我一下。
酒店	还是换个酒店吧，帮我找一个价格在600-700元的酒店就可以了。
酒店	北京西单饭店提供残疾人设施吗，周边有哪些景点？
餐馆	好吧，想吃大丰收，帮我找一个评分5分，人均100-150元的餐馆。
餐馆	老萨烤羊的营业时间是什么时候，周边有酒店吗？
thank	好的，谢谢你。
thank	你好，帮我推荐一个人均消费在50元到100元之间，评分在4.5分以上的餐馆，谢谢。
餐馆	什么时间营业，地址在哪？
景点	吃完饭，我想找个景点转转，有没有评分4.5分以上，可以玩3、4个小时的，推荐一下。
景点	这个景点周边有啥酒店吗？方便我游玩之后入住的，推荐一下。
酒店	哦，那你帮我找一个吧，评分4分以上，要有公共区域和部分房间提供wifi还有叫醒服务的。
酒店	好，他家多少钱呀？
酒店	哦，有电话吗？
thank	好，收到，谢谢你，没问题了。
餐馆	给我找一个4.5分以上，人均消费50-100元的餐厅。
餐馆	有什么推荐菜吗？
thank	谢谢。
酒店	您好，能为我推荐一个最低价格是400-500元的酒店吗？
酒店	这家酒店是什么类型的酒店？评分是多少呢？
餐馆	好的。我明天约客户一起吃饭，麻烦您给我推荐一个人均消费是150-500元的餐馆。
餐馆	听起来不错，这家餐厅的评分是多少呢？吃完饭想和客户一起去周边的景点玩玩，有什么好地方吗？
thank	非常感谢您的服务。有问题再问您。再见！
景点	你好，帮我推荐一个游玩时长1小时 - 2小时，票价免费的景点好吗？
景点	就去首都图书馆吧，这里评分是多少呢？
景点	好吧，那你知道这个景点的地址吗？
餐馆	收到，游玩结束，我打算找一个能吃到汽锅鸡，人均消费150-500元的餐馆吃饭，你知道哪里有这样的餐馆吗？
餐馆	当然可以了，还便宜不少呢，它家周边有酒店没？
餐馆	挺好的，那它家周边还有别的餐馆吗？
thank	那真是太好了，谢谢你啊！
酒店	您好，我想找一家评分是5分、经济型的酒店，安排朋友，求推荐。
酒店	这家酒店的电话是多少，我要订房。
酒店	酒店周边有什么景点吗？
景点	哦。那我需要找一个景点的评分是4.5分以上的地方，带她玩玩，推荐一个吧，把地址和电话一起告诉我。
出租	说的对。如果我想打一辆出租车从7天优品酒店(北京国贸劲松地铁站店)到故宫，能告诉我出租车的车型、车牌吗？
餐馆	记下了，谢谢。最后我们想去叫朴家饭的餐馆吃饭，想问一下这家的人均消费和电话是多少？
thank	谢谢！没有问题了，再见！
景点	给我推荐一个评分在4.5分以上的景点。
景点	八达岭长城的门票多少钱，电话是多少？
餐馆	想吃叉烧包，帮我推荐一个人均消费在50-100元的餐厅。
餐馆	金鼎轩·南北菜(地坛店)周边酒店有哪些，周边有餐馆吗？
酒店	给我推荐一个经济型的酒店，价格在300-400元的。
酒店	锦江之星(北京奥体中心店)有吹风机和温泉吗？
thank	好的，谢谢了。
酒店	您好，我想找个经济型、评分在4.5分以上酒店住宿，帮我查询一下哪个酒店符合我的需求。
酒店	锦江之星(北京奥体中心店)这家就可以，它的价格是多少。
酒店	嗯，那他周边都有什么餐馆呢。
餐馆	那帮我在锦江之星(北京奥体中心店)附近的这些餐馆里，找个人均消费在150-500元店用餐。
餐馆	嗯，那这家店的评分与电话是多少呢。
景点	完事我还要去一个评分在4.5分以上，然后票价20-50元的景点游玩，您看哪个景点适合我。
景点	啊，那我去鸟巢（国家体育场），麻烦把它的地址给我一下。
景点	在它周边都有什么餐馆呢。
餐馆	我要在鸟巢（国家体育场）附近的这些餐馆里找个菜肴有老醋花生、然后人均消费100-150元的餐馆用餐，您看哪家符合我的需求。
餐馆	博味堂自然素食(博味堂净素餐厅)听名字就不错的地方，麻烦您把这里电话告诉我一下。
餐馆	那这个餐馆周边都有什么景点呢。
餐馆	嗯，最后您在帮我找个人均消费在100-150元，然后评分在4分以上餐馆。
餐馆	行，麻烦把地址给我一下。
餐馆	对了，它周边都有什么景点呢。
thank	嗯，太感谢您对我的帮助。
餐馆	你好，我想找一个4分以上，人均消费50-100元的餐馆请朋友吃饭，能帮我推荐一个吗？
餐馆	烤鸭哈，可以，那这家店都有什么好吃的菜品呢？餐馆的附近有酒店吗？
酒店	好的，我还是不在附近住了吧，帮我再找个酒店吧，要高档型的，价格在200-300元的就可以。
酒店	北京启航国际酒店在什么地方？
景点	好的，再帮我找个景点，明天跟朋友出去玩一玩，最好是能游玩2小时 - 3小时，门票100-150元的地方。
景点	北京杜莎夫人蜡像馆电话是多少，附近有酒店吗？
thank	好的，谢谢你。
餐馆	你好，可以帮我找一个人均消费100-150元，推荐菜有水煮肉的餐馆吗？
餐馆	可以啊，它家电话你有吗？
餐馆	好的，知道它家周边都有什么景点吗？
酒店	不错哦，景点还蛮多的呢，吃完饭可以帮我找一个价格是900-1000元，提供接站服务的酒店吗？
酒店	好啊，它家周边都有什么好玩的地方啊？
地铁	我打算乘地铁从万州烤鱼到北京蔓兰酒店，知道出发地和目的地附近地铁站都是什么吗？
